 Experimento , Tecido ,Dia, Amostra ,Peso (g),CT (cm), ID (Figado) ,Lip Fig,Peso Fig,LSI,CF, Recuperacao,BDE153 Musc, Tecido ,Dia, Amostra , ID ,Lip Musc, Recuperacao,BDE153 Musc
BDE153, Figado ,0, A ,23.7,14.4, 2003 L ,0,0.12,0.51,0.79,49.74,0, musculo ,0, A , 2180 N ,3.70,89.09,0
BDE153, Figado ,0, B ,30.98,15.5, 2004 M ,0.083333333,0.1,0.32,0.83,131.82,0, musculo ,0, B , 2181 O ,4.08,212.18,0
BDE153, Figado ,0, C ,44.98,17.8, 2005 N ,0.894736842,0.2,0.44,0.80,109.59,0, musculo ,0, C , 2182 P ,1.89,93.81,0
BDE153, Figado ,1, A ,30.7,14.5, 2006 O ,1.395454545,0.29,0.94,1.01,73.92,284.54, musculo ,1, A , 2215 Y ,5.37,107.4,0
BDE153, Figado ,1, B ,22,13.5, 2007 P ,1.04,0.28,1.27,0.89,92.23,584.29, musculo ,1, B , 2217 A ,0.48,85.18,0
BDE153, Figado ,1, C ,34.5,16, 2008 Q ,2.642857143,0.3,0.87,0.84,110.36,0, musculo ,1, C , 2218 B ,0.48,96.29,0
BDE153, Figado ,1, D ,29.6,14.5, 2010 S ,2.347058824,0.2,0.68,0.97,99.91,358.23, musculo ,1, D , 2219 C ,1.35,115.56,0
BDE153, Figado ,1, E ,39.3,16, 2011 T ,3.823529412,0.29,0.74,0.96,95.67,0, musculo ,1, E , 2220 D ,2.43,94.76,0
BDE153, Figado ,1, F ,29.2,14.5, 2012 U ,2.992857143,0.28,0.96,0.96,103.39,431.64, musculo ,1, F , 2221 E ,1.17,127.48,0
BDE153, Figado ,1, G ,31.1,15, 2013 V ,0.969565217,0.3,0.96,0.92,83.89,291.47, musculo ,1, G , 2222 F ,1.22,128.1,0
BDE153, Figado ,5, A ,24.9,14.1, 2044C ,1.027272727,0.16,0.64,0.89,84.65,0, musculo ,5, A , 2192 A ,0.44,49.98,0
BDE153, Figado ,5, B ,21.7,13.5, 2045D ,1.078947368,0.33,1.52,0.88,86.85,451.89, musculo ,5, B , 2193 B ,2.10,90.09,111.98
BDE153, Figado ,5, C ,38.8,16.4, 2149H ,0.481481481,0.35,0.90,0.88,80.26,276.07, musculo ,5, C , 2194 C ,0.87,67.67,0
BDE153, Figado ,15, A ,29.76,14.6, 2150I ,0.085714286,0.36,1.21,0.96,95.95,244.03, musculo ,15, A , 2408 S ,4.15,75.16,106.71
BDE153, Figado ,15, B ,30.98,15, 2151J ,1.284596791,0.26,0.84,0.92,84.37,343.94, musculo ,15, B , 2409 T ,4.15,90.47,0
BDE153, Figado ,15, C ,34.46,15.7, 2152K ,1.146153846,0.5,1.45,0.89,99.48,194.18, musculo ,15, C , 2410 U ,2.60,84.94,124.88
