Experiment,Day,Sample,ID Liver,Weight (g),Size (cm),Liver Recovery,%Lip Liver,Liver Weight,LSI,CF,BDE47 Liver,BDE99 Liver, ID Muscle,%Lip Muscle,Muscle Recovery,BDE47 Muscle,BDE99 Muscle
 BDE99 ,0, A , 1997 F ,20.09,12.8,73.21,3.6,0.14,0.7,0.96,0,0, 2141 Z ,5.04,83.6,0,0
 BDE99 ,0, B , 1998 G ,36.52,15.5,98.24,2.3,0.33,0.9,0.98,0,0, 2178 L ,6,90.99,0,0
 BDE99 ,0, C , 1999 H ,28.74,14.7,89.71,3.5,0.25,0.87,0.9,0,0, 2179 M ,4.08,75.73,0,0
 BDE99 ,1, A , 2014 X ,23.7,14,78.4,1.3,0.15,0.63,0.86,0,0, 2208 Q ,0.58,77.78,0,0
 BDE99 ,1, B , 2015 Y ,32.8,15,66.24,2.8,0.2,0.61,0.97,0,0, 2209 R ,0.94,101.63,0,0
 BDE99 ,1, C , 2016 Z ,31.9,14.5,75.07,1.3,0.25,0.78,1.05,0,0, 2210 S ,7.54,102.63,0,0
 BDE99 ,1, D , 2017 A ,23.7,14,66.53,1.7,0.12,0.51,0.86,0,0, 2211 T ,4.44,117.42,0,0
 BDE99 ,1, E , 2019C ,19.3,12.5,110.6,0.3,0.1,0.52,0.99,0,0, 2212 U ,3.27,125.38,0,0
 BDE99 ,1, F , 2020D ,37.8,16,65.62,4.1,0.26,0.69,0.92,0,0, 2213 V ,2.81,95.43,0,0
 BDE99 ,1, G , 2021E ,35,15,103.01,4.9,0.3,0.86,1.04,233.83,289.29, 2214 X ,3.31,95.57,0,0
 BDE99 ,5, A , 2041Z ,22.36,13.9,34.67,0.7,0.16,0.72,0.83,0,0, 2189X ,0.67,48.88,0,0
 BDE99 ,5, B , 2042A ,28.4,14.5,15.26,0.4,0.38,1.34,0.93,165.23,260.21, 2190 Y ,1.85,59.52,0,0
 BDE99 ,5, C , 2043B ,31,14.7,61.19,0.4,0.3,0.97,0.98,0,0, 2191 Z ,0.9,68.44,0,0
 BDE99 ,15, A , 2063V ,40.55,16.7,108.69,0.8,0.39,0.96,0.87,0,153.23, 2253 M ,0.45,94.91,0,0
 BDE99 ,15, B , 2064X ,38.1,16.3,96.38,0.7,0.26,0.68,0.88,0,303.9, 2254 N ,0.32,91.95,0,0
 BDE99 ,15, C , 2065Y ,41.52,16.3,74.87,1.3,0.34,0.82,0.96,0,0, 2255 O ,0.4,67.44,0,0
 BDE99 ,15, D , 2066Z ,33.7,15.7,132.2,0.8,0.25,0.74,0.87,200.04,226.97, 2256 P ,0.86,89.56,0,0
 BDE99 ,15, E , 2075I ,38.37,15.7,103.58,0.8,0.36,0.94,0.99,204.45,0, 2417 C ,0.38,72.92,0,0
 BDE99 ,15, F , 2076J ,44.28,17,100.82,0.8,0.44,0.99,0.9,155.23,182.33, 2418 D ,4.4,92.81,0,0
 BDE99 ,15, G , 2084 R ,26.87,14.7,118.89,0.5,0.17,0.63,0.85,0,0, 2419 E ,1.89,79.5,0,0
 BDE99 ,30, A , 2083 Q ,21.65,13.4,107.69,0.1,0.17,0.79,0.9,604.23,0, 2437 X ,1.27,70.2,88.05,93.09
 BDE99 ,30, B , 2082 P ,23.72,14.2,83.98,0.2,0.15,0.63,0.83,263.87,0, 2438 Y ,1.79,82.7,68.3,75.88
 BDE99 ,30, C , 2081 O ,28.58,14.6,110.6,4.3,0.2,0.7,0.92,189.42,211.84, 2439 Z ,2.41,67.96,84,92.92
 BDE99 ,30, D , 2080 N ,35.71,15.7,99.86,1.3,0.42,1.18,0.92,145.81,171.38, 2440 A ,1.52,58.47,67.32,77.1
 BDE99 ,30, E , 2079M ,25.53,14.2,99.1,1.7,0.28,1.1,0.89,272.99,288.02, 2441 B ,0.8,70.44,88.6,0
 BDE99 ,30, F , 2099H ,21.6,13.3,28.52,2.9,0.2,0.93,0.92,0,0, 2442 C ,1.5,88.9,74.71,0
 BDE99 ,30, G , 2100I ,24.92,13.9,110.02,2,0.32,1.28,0.93,199.82,228.71, 2445 F ,1.28,86.03,0,104.48
 BDE99 ,41, A , 2122F ,20.82,13.2,55.7,2.3,0.08,0.38,0.91,0,0, 2469 E ,0.28,45.21,0,0
 BDE99 ,41, B , 2470F ,28.08,14.6,69.77,0.5,0.3,1.07,0.9,343.68,391.8, 2470 F ,4.62,69.77,343.68,391.8
 BDE99 ,41, C , 2142A ,27.59,14.9,90.8,1.6,0.15,0.54,0.83,0,0, 2471 G ,1.79,43.64,82.43,0
 BDE99 ,41, D , 2143B ,22.64,14.2,97.38,12.9,0.17,0.75,0.79,416.98,433.2, 2472 H ,1.05,67.29,82.28,91.57
 BDE99 ,41, E , 2144C ,26.25,14.9,71.3,4.5,0.18,0.69,0.79,278.24,307.78, 2473 I ,0.59,70.53,0,0
 BDE99 ,41, F , 2145D ,23.2,14.2,87.23,2.5,0.2,0.86,0.81,370.41,0, 2474 J ,0.2,70.77,93.59,0
 BDE99 ,60, A , 2229M ,27.13,13.7,45.26,0.3,0.11,0.41,1.06,0,0, 2453 N ,0.45,92.76,0,0
 BDE99 ,60, B , 2230N ,25.01,13.9,54.75,0.9,0.14,0.56,0.93,0,0, 2455 P ,0.55,62.43,83.14,0
 BDE99 ,60, C , 2231O ,20.83,14,61.38,3,0.1,0.48,0.76,0,0, 2456 Q ,0.85,63.52,74.54,0
 BDE99 ,60, D , 2232P ,25.98,14.1,60.66,0.4,0.14,0.54,0.93,898.16,0, 2457 R ,0.87,78.26,98.52,0
 BDE99 ,60, E , 2233Q ,28.02,14.2,57.94,1.2,0.22,0.79,0.98,357.83,0, 2458 S ,1.72,,0,0
 BDE99 ,60, F , 2234R ,29.12,14.6,71.49,0.9,0.2,0.69,0.94,531.87,0, 2459 T ,6,85.46,80.2,0
 BDE99 ,60, G , 2237U ,27.41,14.5,64.38,0.8,0.23,0.84,0.9,338.13,0, 2460 U ,4.22,71.06,71.59,0
 BDE99 ,72, A , 2245E ,27.05,14.1,74.64,2.8,0.24,0.89,0.96,294.05,0, 2499 J ,1.97,58.9,73.1,0
